Effective user ID,Namespace ID,Event count,Views,Sessions,Engagement rate,Bounce rate,Engaged sessions,Elapsed time (seconds),Tab_click,Page/step_click,page_view,scroll,Assigned_variant
1963053890,ANONYMOUS,6,1,2,0,1,0,120.0954,0,0,1,1,B
1837502046,ANONYMOUS,6,1,2,0,1,0,53.42247222,0,0,1,1,A
1831409186,ANONYMOUS,54,24,6,0.5,0.5,3,21.12163333,0,6,24,10,B
1366811754,ANONYMOUS,54,7,7,0.714285714,0.285714286,5,15.68486728,0,26,7,7,A
362654813.2,ANONYMOUS,14,3,4,0.5,0.5,2,13.12684643,0,0,3,3,A
uid_pvkn49418j,USER_ID,105,1,4,0.25,0.75,1,12.14328619,0,16,0,13,A
uid_088umq0apbv4,USER_ID,11,1,1,1,0,1,11.42251515,0,0,1,2,A
16801589.17,ANONYMOUS,12,3,2,0.5,0.5,1,10.99818333,0,0,3,3,B
303522349.2,ANONYMOUS,520,116,6,0.666666667,0.333333333,4,5.921363301,27,209,116,68,A
uid_jcj1k4fxn2p,USER_ID,693,1,3,0.666666667,0.333333333,2,3.605686821,0,122,0,62,B
1161763726,ANONYMOUS,24,6,3,1,0,3,3.025189583,0,2,6,6,A
53073789.17,ANONYMOUS,11,1,1,1,0,1,2.009356061,0,6,1,1,B
1247083104,ANONYMOUS,38,9,2,0.5,0.5,1,1.80669693,10,0,9,5,A
582298181.2,ANONYMOUS,351,144,4,1,0,4,1.666262393,28,46,144,25,B
374503373.2,ANONYMOUS,12,1,1,1,0,1,1.582947222,0,7,1,1,A
1153479375,ANONYMOUS,16,2,2,1,0,2,1.540980208,0,16,2,2,B
1105941944,ANONYMOUS,20,1,1,1,0,1,1.395354167,0,15,1,1,A
1664317622,ANONYMOUS,42,2,1,1,0,1,1.182959921,0,34,2,2,A
uid_avp78zd6uua,USER_ID,51,1,1,1,0,1,0.640026471,0,18,2,5,A
1382053200,ANONYMOUS,13,1,1,1,0,1,0.574912821,0,9,1,1,A
1312120391,ANONYMOUS,9,1,1,1,0,1,0.570353704,0,4,1,1,A
2104417559,ANONYMOUS,20,1,1,1,0,1,0.544853333,0,16,1,1,A
1147378493,ANONYMOUS,26,5,2,0.5,0.5,1,0.482663462,0,14,5,3,A
1268746999,ANONYMOUS,34,3,3,0.333333333,0.666666667,1,0.466892647,0,22,3,3,B
1963772645,ANONYMOUS,13,1,1,1,0,1,0.456962821,0,8,1,1,B
100517340.2,ANONYMOUS,9,1,1,1,0,1,0.4321,0,5,1,1,A
1663186108,ANONYMOUS,7,1,1,1,0,1,0.385626191,0,3,1,1,B
757433675.2,ANONYMOUS,10,1,1,1,0,1,0.365618333,0,6,1,1,A
1306081210,ANONYMOUS,3,1,1,0,1,0,0.354,0,0,1,1,A
1234467419,ANONYMOUS,15,1,1,1,0,1,0.333975556,0,10,1,1,A
1287837769,ANONYMOUS,29,1,1,1,0,1,0.319448276,0,25,1,1,A
1190061110,ANONYMOUS,11,1,1,1,0,1,0.310086364,0,6,1,1,A
1656712258,ANONYMOUS,5,1,1,1,0,1,0.29182,0,1,1,1,A
2122246152,ANONYMOUS,4,1,1,0,1,0,0.279941667,0,0,1,1,B
925734082.2,ANONYMOUS,5,1,1,1,0,1,0.278813333,0,1,1,1,B
829650929.2,ANONYMOUS,29,8,7,0.285714286,0.714285714,2,0.276258621,0,7,8,6,B
627925714.2,ANONYMOUS,9,3,1,1,0,1,0.271209259,0,0,3,3,B
969484835.2,ANONYMOUS,6,1,1,1,0,1,0.267755556,0,1,1,1,B
489144042.2,ANONYMOUS,8,1,1,1,0,1,0.250510417,0,4,1,1,A
1276708983,ANONYMOUS,6,1,1,1,0,1,0.242405556,0,2,1,1,A
1761949630,ANONYMOUS,9,1,1,1,0,1,0.239944444,0,5,1,1,B
1041092724,ANONYMOUS,16,1,1,1,0,1,0.2231875,0,11,1,1,B
1129761386,ANONYMOUS,419,75,3,1,0,3,0.218379913,60,66,75,77,B
1818154739,ANONYMOUS,4,1,1,0,1,0,0.212958333,0,1,1,1,A
698878097.2,ANONYMOUS,4,1,1,0,1,0,0.208191667,0,1,1,1,B
379254665.2,ANONYMOUS,13,3,1,1,0,1,0.20773718,0,2,3,3,B
1162600937,ANONYMOUS,4,1,1,0,1,0,0.206404167,0,1,1,1,B
1350090624,ANONYMOUS,4,1,1,0,1,0,0.19795,0,1,1,1,B
1414168291,ANONYMOUS,5,1,1,1,0,1,0.19595,0,1,1,1,B
900842974.2,ANONYMOUS,23,4,1,1,0,1,0.187644203,0,11,4,3,B
1178909701,ANONYMOUS,10,3,1,1,0,1,0.17997,0,2,3,3,B
621599735.2,ANONYMOUS,3,1,1,0,1,0,0.177883333,0,0,1,0,B
1464861543,ANONYMOUS,3,1,1,0,1,0,0.173716667,0,0,1,0,A
509419008.2,ANONYMOUS,22,5,1,1,0,1,0.172486364,0,6,5,5,A
594167521.2,ANONYMOUS,4,1,1,0,1,0,0.169704167,0,1,1,1,B
499913277.2,ANONYMOUS,5,1,1,1,0,1,0.16585,0,1,1,1,B
1199062193,ANONYMOUS,4,1,1,0,1,0,0.165691667,0,1,1,1,B
1725390036,ANONYMOUS,5,1,1,1,0,1,0.162216667,0,1,1,1,B
1432607577,ANONYMOUS,4,1,1,0,1,0,0.153566667,0,1,1,1,A
2078096362,ANONYMOUS,17,3,1,1,0,1,0.152607843,0,9,3,3,A
922157095.2,ANONYMOUS,4,1,1,0,1,0,0.1477875,0,1,1,1,B
uid_m8hdry2ukng,USER_ID,7,1,1,1,0,1,0.131333333,0,1,1,1,A
854493188.2,ANONYMOUS,4,1,1,0,1,0,0.1193375,0,1,1,1,A
1287103737,ANONYMOUS,11,1,1,1,0,1,0.115921212,0,7,1,1,B
952703361.2,ANONYMOUS,18,6,4,0.25,0.75,1,0.115053704,0,2,6,3,B
1081015770,ANONYMOUS,4,1,1,0,1,0,0.113991667,0,1,1,1,B
892118242.2,ANONYMOUS,90,20,4,0.75,0.25,3,0.112972222,14,21,20,20,B
2121327473,ANONYMOUS,4,1,1,0,1,0,0.111145833,0,1,1,1,A
1366643214,ANONYMOUS,8,2,2,0.5,0.5,1,0.10996875,0,1,2,2,B
1564417158,ANONYMOUS,5,1,1,1,0,1,0.109436667,0,1,1,1,B
776639835.2,ANONYMOUS,3,1,1,0,1,0,0.10865,0,0,1,0,A
1475125185,ANONYMOUS,4,1,1,0,1,0,0.108179167,0,0,1,1,B
1577845770,ANONYMOUS,4,1,1,0,1,0,0.107616667,0,0,1,1,A
1010700980,ANONYMOUS,12,1,1,1,0,1,0.1073375,0,8,1,1,A
1506540971,ANONYMOUS,4,1,1,0,1,0,0.107245833,0,0,1,1,A
750892741.2,ANONYMOUS,4,1,1,0,1,0,0.1065375,0,0,1,1,B
2007088202,ANONYMOUS,3,1,1,0,1,0,0.105,0,0,1,0,B
182561369.2,ANONYMOUS,3,1,1,0,1,0,0.104416667,0,0,1,0,B
612635841.2,ANONYMOUS,4,1,1,0,1,0,0.104329167,0,0,1,0,B
545402429.2,ANONYMOUS,4,1,1,0,1,0,0.102916667,0,0,1,1,A
960720005.2,ANONYMOUS,4,1,1,0,1,0,0.101979167,0,0,1,1,A
2056827788,ANONYMOUS,4,1,1,0,1,0,0.101829167,0,0,1,1,B
517282144.2,ANONYMOUS,4,1,1,0,1,0,0.101004167,0,0,1,1,B
1744564911,ANONYMOUS,4,1,1,0,1,0,0.098808333,0,0,1,1,A
608008811.2,ANONYMOUS,4,1,1,0,1,0,0.098275,0,0,1,1,B
1562994066,ANONYMOUS,4,1,1,0,1,0,0.096995833,0,0,1,1,A
55384703.17,ANONYMOUS,4,1,1,0,1,0,0.094770833,0,0,1,1,B
2075707058,ANONYMOUS,4,1,1,0,1,0,0.0942,0,0,1,1,A
220559734.2,ANONYMOUS,4,1,1,0,1,0,0.093870833,0,0,1,1,B
1338331496,ANONYMOUS,4,1,1,0,1,0,0.091091667,0,0,1,1,B
1454397862,ANONYMOUS,4,1,1,0,1,0,0.088254167,0,0,1,1,B
433857090.2,ANONYMOUS,7,1,1,1,0,1,0.087545238,0,2,1,1,A
572163487.2,ANONYMOUS,3,1,1,0,1,0,0.082,0,0,1,1,B
1870437708,ANONYMOUS,5,2,1,1,0,1,0.081346667,0,0,2,1,A
1516704165,ANONYMOUS,3,1,1,0,1,0,0.0806,0,0,1,1,B
876933814.2,ANONYMOUS,6,1,1,1,0,1,0.078269444,0,2,1,1,A
227260117.2,ANONYMOUS,3,1,1,0,1,0,0.077933333,0,0,1,0,A
570548283.2,ANONYMOUS,7,2,2,0,1,0,0.077566667,0,0,2,2,B
uid_4twyz61obct,USER_ID,6,1,1,0,1,0,0.0746,0,0,1,1,A
393567397.2,ANONYMOUS,3,1,1,0,1,0,0.074233333,0,0,1,0,A
84830442.17,ANONYMOUS,3,1,1,0,1,0,0.074116667,0,0,1,0,A
1113482595,ANONYMOUS,4,1,1,0,1,0,0.070741667,0,0,1,1,A
1832621064,ANONYMOUS,4,1,1,0,1,0,0.067366667,0,0,1,1,A
795766805.2,ANONYMOUS,23,6,6,0.333333333,0.666666667,2,0.06656087,0,6,6,5,A
1322790116,ANONYMOUS,4,1,1,0,1,0,0.058366667,0,0,1,1,B
601733560.2,ANONYMOUS,8,3,2,0.5,0.5,1,0.055970833,0,0,3,2,A
1889817954,ANONYMOUS,11,1,1,1,0,1,0.051881818,0,7,1,1,B
2014208042,ANONYMOUS,4,1,1,0,1,0,0.038991667,0,0,1,1,B
1162592264,ANONYMOUS,4,1,1,0,1,0,0.034533333,0,0,1,1,A
899354956.2,ANONYMOUS,12,1,1,1,0,1,0.031815278,0,8,1,1,A
473097169.2,ANONYMOUS,4,1,1,1,0,1,0.021333333,0,0,1,1,B
1535892408,ANONYMOUS,3,1,1,0,1,0,0.017533333,0,0,1,0,B
298589617.2,ANONYMOUS,3,1,1,0,1,0,0.015216667,0,0,1,0,B
562565997.2,ANONYMOUS,5,2,1,1,0,1,0.01146,0,0,1,1,A
1240570740,ANONYMOUS,3,1,1,0,1,0,0.011016667,0,0,1,0,A
480227543.2,ANONYMOUS,3,1,1,0,1,0,0.010666667,0,0,1,0,B
1855448831,ANONYMOUS,3,1,1,0,1,0,0.010533333,0,0,1,0,A
402743158.2,ANONYMOUS,3,1,1,0,1,0,0.00955,0,0,1,0,A
673325524.2,ANONYMOUS,3,1,1,0,1,0,0.009266667,0,0,1,0,A
1284985275,ANONYMOUS,3,1,1,0,1,0,0.008983333,0,0,1,0,A
1834153614,ANONYMOUS,3,1,1,0,1,0,0.008183333,0,0,1,0,B
456903746.2,ANONYMOUS,3,1,1,0,1,0,0.008166667,0,0,1,0,B
731666550.2,ANONYMOUS,3,1,1,0,1,0,0.007466667,0,0,1,0,B
1061457845,ANONYMOUS,3,1,1,0,1,0,0.00715,0,0,1,0,A
1960120781,ANONYMOUS,3,1,1,0,1,0,0.006733333,0,0,1,0,B
1411238846,ANONYMOUS,3,1,1,0,1,0,0.00565,0,0,1,0,B
2134654210,ANONYMOUS,3,1,1,0,1,0,0.0055,0,0,1,0,A
116701407.2,ANONYMOUS,3,1,1,0,1,0,0.00405,0,0,1,0,A
1399918410,ANONYMOUS,3,1,1,0,1,0,0.0038,0,0,1,0,B
123280557.2,ANONYMOUS,3,1,1,0,1,0,0.00355,0,0,1,0,A
457258410.2,ANONYMOUS,3,1,1,0,1,0,0.00355,0,0,1,0,B
1682560342,ANONYMOUS,3,1,1,0,1,0,0.00335,0,0,1,0,B
452285769.2,ANONYMOUS,27,9,1,1,0,1,0.00272037,2,6,9,0,A